entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
768,138752,144,418,17097,56,1581682920.0,1581684600.0,20200214 07:22,20200214 07:50,PO
769,138424,123,0,40705,63,1581735840.0,1581737700.0,20200214 22:04,20200214 22:35,1
770,139306,505,432,15061,26,1581723840.0,1581724560.0,20200214 18:44,20200214 18:56,2
771,139664,130,0,73585,118,1581729900.0,1581733440.0,20200214 20:25,20200214 21:24,4
772,139703,148,96,364,209,1581685800.0,1581691560.0,20200214 08:10,20200214 09:46,4
773,140430,703,123,8156,33,1581708540.0,1581709500.0,20200214 14:29,20200214 14:45,33
774,138736,118,535,34781,67,1581680460.0,1581682440.0,20200214 06:41,20200214 07:14,13
775,140326,718,287,310,66,1581726240.0,1581727620.0,20200214 19:24,20200214 19:47,33
776,138652,134,1051,37587,58,1581728580.0,1581730260.0,20200214 20:03,20200214 20:31,10G
777,139674,115,375,73519,128,1581720540.0,1581724440.0,20200214 17:49,20200214 18:54,4
778,140153,128,241,416,141,1581708360.0,1581711960.0,20200214 14:26,20200214 15:26,9
779,139116,101,387,24731,49,1581710820.0,1581712320.0,20200214 15:07,20200214 15:32,15
780,138828,144,58,8805,24,1581711000.0,1581711720.0,20200214 15:10,20200214 15:22,14
781,138664,147,110,21861,31,1581723840.0,1581724740.0,20200214 18:44,20200214 18:59,10G
782,139692,149,42,69814,125,1581726600.0,1581730380.0,20200214 19:30,20200214 20:33,4
783,139341,752,404,9381,30,1581686160.0,1581687060.0,20200214 08:16,20200214 08:31,21
784,140287,703,282,9053,35,1581711420.0,1581712440.0,20200214 15:17,20200214 15:34,33
785,138720,118,49,33169,53,1581678840.0,1581680400.0,20200214 06:14,20200214 06:40,13
786,139512,726,1300,5197,18,1581696000.0,1581696480.0,20200214 11:00,20200214 11:08,34
787,140023,140,203,12847,30,1581707760.0,1581708660.0,20200214 14:16,20200214 14:31,8
788,139173,150,0,52870,94,1581720840.0,1581723660.0,20200214 17:54,20200214 18:41,16
789,139577,726,1098,4974,20,1581722400.0,1581723060.0,20200214 18:20,20200214 18:31,34
790,138643,110,8335,37861,98,1581673800.0,1581676740.0,20200214 04:50,20200214 05:39,PO
791,138959,144,112,7016,12,1581711780.0,1581712080.0,20200214 15:23,20200214 15:28,14
792,138534,135,376,30064,49,1581711600.0,1581713100.0,20200214 15:20,20200214 15:45,10A
793,140029,140,0,12823,18,1581722460.0,1581723000.0,20200214 18:21,20200214 18:30,8
794,139721,505,381,69265,130,1581700620.0,1581704520.0,20200214 12:17,20200214 13:22,4
795,140312,718,2617,9053,30,1581716700.0,1581717540.0,20200214 16:45,20200214 16:59,33
796,140151,150,153,34477,37,1581725460.0,1581726540.0,20200214 19:11,20200214 19:29,9
797,138743,137,173,34781,60,1581706140.0,1581708000.0,20200214 13:49,20200214 14:20,13
798,139439,139,0,49561,67,1581677820.0,1581679860.0,20200214 05:57,20200214 06:31,28
799,139538,726,1363,13799,32,1581682020.0,1581682920.0,20200214 07:07,20200214 07:22,34
800,138379,123,463,31125,67,1581733800.0,1581735780.0,20200214 21:30,20200214 22:03,1
801,138400,112,0,40592,72,1581690540.0,1581692700.0,20200214 09:29,20200214 10:05,1
802,138822,142,64,8568,16,1581704220.0,1581704640.0,20200214 13:17,20200214 13:24,14
803,139284,505,365,19586,41,1581722580.0,1581723780.0,20200214 18:23,20200214 18:43,2
804,139671,504,540,16362,54,1581723120.0,1581724740.0,20200214 18:32,20200214 18:59,4
805,139655,145,44,73507,127,1581690960.0,1581694800.0,20200214 09:36,20200214 10:40,4
806,139662,130,418,86796,179,1581713640.0,1581719100.0,20200214 15:54,20200214 17:25,PO
807,139168,148,51807,11465,139,1581724800.0,1581728340.0,20200214 19:00,20200214 19:59,16
808,138883,143,322,7234,20,1581684120.0,1581684660.0,20200214 07:42,20200214 07:51,14
809,139107,101,64,25201,48,1581715080.0,1581716460.0,20200214 16:18,20200214 16:41,15
810,140322,718,697,9052,22,1581724800.0,1581725400.0,20200214 19:00,20200214 19:10,33
811,139716,145,0,79428,96,1581681360.0,1581684240.0,20200214 06:56,20200214 07:44,4
812,138767,143,58,9060,17,1581701100.0,1581701520.0,20200214 12:25,20200214 12:32,14
813,140021,140,0,12823,13,1581703080.0,1581703440.0,20200214 12:58,20200214 13:04,8
814,,119,0,0,536,1581724800.0,1581735000.0,20200214 19:00,20200214 21:50,U
815,138888,143,127,7263,24,1581690240.0,1581690900.0,20200214 09:24,20200214 09:35,14
816,138378,134,162,31155,72,1581730320.0,1581732480.0,20200214 20:32,20200214 21:08,1
817,138351,119,163,31149,58,1581691200.0,1581692940.0,20200214 09:40,20200214 10:09,1
818,139135,136,376,49487,73,1581699360.0,1581701520.0,20200214 11:56,20200214 12:32,16
819,139759,131,83474,416,146,1581724800.0,1581729240.0,20200214 19:00,20200214 20:14,4
820,139291,752,180,15005,20,1581692220.0,1581692760.0,20200214 09:57,20200214 10:06,2
821,140031,140,418,64463,80,1581674100.0,1581676500.0,20200214 04:55,20200214 05:35,PO
822,138650,123,8335,37861,75,1581716820.0,1581719100.0,20200214 16:47,20200214 17:25,PO
823,138386,149,0,40568,69,1581681060.0,1581683100.0,20200214 06:51,20200214 07:25,1
824,139754,112,82,72792,131,1581717240.0,1581721200.0,20200214 16:54,20200214 18:00,4
825,139443,139,341,35422,44,1581688020.0,1581689340.0,20200214 08:47,20200214 09:09,28
826,140434,730,5171,5325,19,1581715740.0,1581716280.0,20200214 16:29,20200214 16:38,33
827,140482,703,132,8262,28,1581731760.0,1581732540.0,20200214 20:56,20200214 21:09,33
828,139263,505,365,19891,45,1581709800.0,1581711180.0,20200214 14:50,20200214 15:13,2
829,139295,752,0,15012,28,1581700380.0,1581701220.0,20200214 12:13,20200214 12:27,2
830,139706,148,95,72801,133,1581678600.0,1581682560.0,20200214 06:10,20200214 07:16,4
831,140038,140,197,52714,56,1581692280.0,1581693900.0,20200214 09:58,20200214 10:25,8
832,140332,703,277,8956,22,1581729600.0,1581730200.0,20200214 20:20,20200214 20:30,33
833,139354,145,346,9586,19,1581715620.0,1581716160.0,20200214 16:27,20200214 16:36,21
834,139452,106,0,33391,58,1581697800.0,1581699480.0,20200214 11:30,20200214 11:58,28
835,139990,110,42,407,183,1581684300.0,1581689820.0,20200214 07:45,20200214 09:17,7
836,138661,127,107,37268,58,1581711900.0,1581713640.0,20200214 15:25,20200214 15:54,10G
837,138965,144,322,6752,24,1581718800.0,1581719460.0,20200214 17:20,20200214 17:31,14
838,138782,142,67,9032,25,1581685260.0,1581685980.0,20200214 08:01,20200214 08:13,14
839,140019,140,240,12458,18,1581698160.0,1581698700.0,20200214 11:36,20200214 11:45,8
840,138639,130,784,40768,58,1581686760.0,1581688500.0,20200214 08:26,20200214 08:55,10G
841,140298,730,166,9049,44,1581710040.0,1581711300.0,20200214 14:54,20200214 15:15,33
842,140149,148,124,34761,61,1581710700.0,1581712560.0,20200214 15:05,20200214 15:36,9
843,138979,142,322,7030,12,1581713220.0,1581713520.0,20200214 15:47,20200214 15:52,14
844,140322,718,108,264,3,1581724680.0,1581724740.0,20200214 18:58,20200214 18:59,33
845,138988,142,128,7160,13,1581723960.0,1581724320.0,20200214 18:46,20200214 18:52,14
846,138553,123,398,26076,52,1581732240.0,1581733740.0,20200214 21:04,20200214 21:29,10A
847,140498,730,460,8125,29,1581711360.0,1581712260.0,20200214 15:16,20200214 15:31,33
848,140385,727,489,8065,37,1581690000.0,1581690840.0,20200214 09:20,20200214 09:34,33
849,140392,730,0,8117,31,1581700320.0,1581701220.0,20200214 12:12,20200214 12:27,33
850,138882,142,322,416,216,1581728700.0,1581734580.0,20200214 20:05,20200214 21:43,14
851,139304,505,432,15005,19,1581719880.0,1581720420.0,20200214 17:38,20200214 17:47,2
852,138924,142,322,6836,16,1581699000.0,1581699480.0,20200214 11:50,20200214 11:58,14
853,138535,103,376,29546,56,1581717720.0,1581719400.0,20200214 17:02,20200214 17:30,10A
854,138536,147,376,29671,47,1581722400.0,1581723780.0,20200214 18:20,20200214 18:43,10A
855,138837,144,403,9662,17,1581721860.0,1581722400.0,20200214 18:11,20200214 18:20,14
856,140949,127,11,364,122,1581682260.0,1581685380.0,20200214 07:11,20200214 08:03,3
857,139364,752,404,9780,29,1581689700.0,1581690540.0,20200214 09:15,20200214 09:29,21
858,138362,130,418,45393,88,1581703500.0,1581706080.0,20200214 13:05,20200214 13:48,PO
859,138345,124,384,31155,59,1581681540.0,1581683340.0,20200214 06:59,20200214 07:29,1
860,140045,140,104,53218,72,1581708660.0,1581710820.0,20200214 14:31,20200214 15:07,8
861,138628,123,453,40864,65,1581698700.0,1581700620.0,20200214 11:45,20200214 12:17,10G
862,139715,145,104,72745,129,1581674400.0,1581678300.0,20200214 05:00,20200214 06:05,4
863,140371,730,2259,8262,17,1581684480.0,1581684960.0,20200214 07:48,20200214 07:56,33
864,139991,117,46,364,68,1581691740.0,1581693780.0,20200214 09:49,20200214 10:23,7
865,139126,125,99,49390,56,1581685860.0,1581687540.0,20200214 08:11,20200214 08:39,16
866,140492,727,8204,8199,22,1581736860.0,1581737460.0,20200214 22:21,20200214 22:31,33
867,139756,117,0,0,193,1581706860.0,1581712140.0,20200214 14:01,20200214 15:29,4
868,139526,726,0,5037,13,1581711480.0,1581711840.0,20200214 15:18,20200214 15:24,34
869,140011,140,498,12823,18,1581678960.0,1581679500.0,20200214 06:16,20200214 06:25,8
870,138840,144,59,8997,32,1581725220.0,1581726180.0,20200214 19:07,20200214 19:23,14
871,138808,143,69,9662,19,1581717840.0,1581718380.0,20200214 17:04,20200214 17:13,14
872,139669,504,42,73265,160,1581706680.0,1581711480.0,20200214 13:58,20200214 15:18,4
873,138411,139,0,40529,68,1581711060.0,1581713040.0,20200214 15:11,20200214 15:44,1
874,138660,135,0,37617,65,1581706020.0,1581707940.0,20200214 13:47,20200214 14:19,10G
875,138926,142,322,7079,12,1581701280.0,1581701640.0,20200214 12:28,20200214 12:34,14
876,139176,128,0,53121,80,1581704040.0,1581706440.0,20200214 13:14,20200214 13:54,16
877,139321,753,362,13766,52,1581703860.0,1581705420.0,20200214 13:11,20200214 13:37,21
878,138823,142,403,9540,18,1581705540.0,1581706020.0,20200214 13:39,20200214 13:47,14
879,139521,726,4467,1239,9,1581705960.0,1581706200.0,20200214 13:46,20200214 13:50,34
880,139548,726,728,4999,21,1581691140.0,1581691740.0,20200214 09:39,20200214 09:49,34
881,139639,149,418,87822,132,1581689280.0,1581693240.0,20200214 09:08,20200214 10:14,PO
882,139708,120,0,364,181,1581680400.0,1581685260.0,20200214 06:40,20200214 08:01,4
883,138760,143,0,9534,19,1581692340.0,1581692940.0,20200214 09:59,20200214 10:09,14
884,139329,505,416,13564,37,1581720420.0,1581721500.0,20200214 17:47,20200214 18:05,21
885,138766,143,0,8724,21,1581699720.0,1581700320.0,20200214 12:02,20200214 12:12,14
886,138363,127,42,31153,73,1581705600.0,1581707760.0,20200214 13:40,20200214 14:16,1
887,140433,703,0,8154,27,1581714720.0,1581715500.0,20200214 16:12,20200214 16:25,33
888,139150,105,87,53102,73,1581678000.0,1581680160.0,20200214 06:00,20200214 06:36,16
889,139333,505,62,13736,46,1581733920.0,1581735300.0,20200214 21:32,20200214 21:55,21
890,139758,149,93,416,190,1581737100.0,1581742800.0,20200214 22:25,20200215 00:00,4
891,138773,144,0,8797,22,1581691380.0,1581692040.0,20200214 09:43,20200214 09:54,14
892,138852,142,403,9042,18,1581717660.0,1581718200.0,20200214 17:01,20200214 17:10,14
893,140148,148,81,34840,62,1581702600.0,1581704460.0,20200214 12:50,20200214 13:21,9
894,139545,726,1114,4683,13,1581688020.0,1581688380.0,20200214 08:47,20200214 08:53,34
895,139505,726,1230,5180,27,1581688380.0,1581689160.0,20200214 08:53,20200214 09:06,34
896,139554,726,231,0,44,1581698100.0,1581699420.0,20200214 11:35,20200214 11:57,34
897,138380,134,375,31076,63,1581737580.0,1581739500.0,20200214 22:33,20200214 23:05,1
