entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
594,138779,144,0,9677,24,1580749680.0,1580750400.0,20200203 12:08,20200203 12:20,14
595,140039,107,432,53180,54,1580744100.0,1580745720.0,20200203 10:35,20200203 11:02,8
596,139107,119,64,25409,55,1580764680.0,1580766300.0,20200203 16:18,20200203 16:45,15
597,139737,128,81,416,256,1580776500.0,1580783640.0,20200203 19:35,20200203 21:34,4
598,139117,119,33,24731,54,1580763000.0,1580764620.0,20200203 15:50,20200203 16:17,15
599,140109,135,393,36028,73,1580754480.0,1580756640.0,20200203 13:28,20200203 14:04,9
600,139280,115,10611,20039,17,1580774400.0,1580774820.0,20200203 19:00,20200203 19:07,2
601,138415,130,0,384,224,1580765460.0,1580771640.0,20200203 16:31,20200203 18:14,1
602,138420,752,39610,40442,11,1580774400.0,1580774700.0,20200203 19:00,20200203 19:05,1
603,140483,729,0,8161,30,1580782020.0,1580782920.0,20200203 21:07,20200203 21:22,33
604,140113,133,377,35856,40,1580784000.0,1580785200.0,20200203 21:40,20200203 22:00,9
605,139252,104,1325,61477,89,1580757000.0,1580759700.0,20200203 14:10,20200203 14:55,19
606,139694,149,418,47266,69,1580721900.0,1580723880.0,20200203 04:25,20200203 04:58,PO
607,140003,110,416,15986,51,1580736900.0,1580738400.0,20200203 08:35,20200203 09:00,PO
608,139289,150,432,15005,25,1580735940.0,1580736660.0,20200203 08:19,20200203 08:31,2
609,138934,143,113,7263,17,1580761020.0,1580761500.0,20200203 15:17,20200203 15:25,14
610,138662,139,105,11465,145,1580763300.0,1580767080.0,20200203 15:55,20200203 16:58,10G
611,139336,148,654,13491,29,1580738400.0,1580739240.0,20200203 09:00,20200203 09:14,21
612,138842,144,0,8852,33,1580777340.0,1580778300.0,20200203 19:49,20200203 20:05,14
613,140952,135,653,64384,74,1580772180.0,1580774340.0,20200203 18:23,20200203 18:59,3
614,140130,103,241,34417,58,1580731560.0,1580733300.0,20200203 07:06,20200203 07:35,9
615,138892,143,317,7030,14,1580744940.0,1580745300.0,20200203 10:49,20200203 10:55,14
616,139364,148,333,9492,33,1580739300.0,1580740260.0,20200203 09:15,20200203 09:31,21
617,139276,115,418,36028,63,1580756280.0,1580758200.0,20200203 13:58,20200203 14:30,PO
618,140464,729,0,8166,28,1580773020.0,1580773860.0,20200203 18:37,20200203 18:51,33
619,138384,105,0,40629,58,1580728260.0,1580729940.0,20200203 06:11,20200203 06:39,1
620,138399,131,53,40657,65,1580745660.0,1580747580.0,20200203 11:01,20200203 11:33,1
