entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
470,138388,124,0,39950,77,1582028940.0,1582031220.0,20200218 07:29,20200218 08:07,1
471,139283,150,541,19900,31,1582063560.0,1582064460.0,20200218 17:06,20200218 17:21,2
472,139113,103,1059,24731,49,1582032240.0,1582033740.0,20200218 08:24,20200218 08:49,15
473,140002,106,416,2701,46,1582051500.0,1582052820.0,20200218 13:45,20200218 14:07,PO
474,139298,753,432,416,131,1582052100.0,1582055460.0,20200218 13:55,20200218 14:51,2
475,139727,147,109,71882,148,1582063200.0,1582067640.0,20200218 17:00,20200218 18:14,4
476,139443,105,29337,35093,64,1582033200.0,1582035360.0,20200218 08:40,20200218 09:16,28
477,139465,136,36,76946,98,1582065120.0,1582068060.0,20200218 17:32,20200218 18:21,3
478,138889,142,171,7177,21,1582037100.0,1582037700.0,20200218 09:45,20200218 09:55,14
479,138359,125,375,30942,60,1582046400.0,1582048200.0,20200218 12:20,20200218 12:50,1
480,138850,144,115,9539,25,1582060860.0,1582061580.0,20200218 16:21,20200218 16:33,14
481,139645,506,418,87822,138,1582023600.0,1582027740.0,20200218 06:00,20200218 07:09,PO
482,138925,144,322,7049,16,1582046040.0,1582046460.0,20200218 12:14,20200218 12:21,14
483,138410,125,0,40371,66,1582055580.0,1582057560.0,20200218 14:53,20200218 15:26,1
484,139747,127,381,72602,114,1582044060.0,1582047420.0,20200218 11:41,20200218 12:37,4
485,139106,101,64,25409,42,1582057740.0,1582059000.0,20200218 15:29,20200218 15:50,15
486,140311,718,568,9031,38,1582060800.0,1582061940.0,20200218 16:20,20200218 16:39,33
487,138752,143,418,17062,44,1582028760.0,1582030020.0,20200218 07:26,20200218 07:47,PO
488,138828,143,58,9042,23,1582056960.0,1582057620.0,20200218 15:16,20200218 15:27,14
489,139995,150,0,416,72,1582049040.0,1582050600.0,20200218 13:04,20200218 13:30,7
490,138893,142,162,7263,13,1582042140.0,1582042500.0,20200218 11:09,20200218 11:15,14
491,138953,144,322,7062,17,1582050600.0,1582051080.0,20200218 13:30,20200218 13:38,14
492,138369,132,418,45396,71,1582058100.0,1582060260.0,20200218 15:35,20200218 16:11,PO
493,138756,142,58,9041,28,1582032480.0,1582033320.0,20200218 08:28,20200218 08:42,14
494,139447,103,0,33347,51,1582058580.0,1582060140.0,20200218 15:43,20200218 16:09,28
495,138413,104,0,39106,62,1582059180.0,1582060920.0,20200218 15:53,20200218 16:22,1
496,139315,753,986,13773,26,1582036680.0,1582037460.0,20200218 09:38,20200218 09:51,21
497,138826,143,0,9641,25,1582054140.0,1582054860.0,20200218 14:29,20200218 14:41,14
498,140309,718,236,8962,28,1582057260.0,1582058100.0,20200218 15:21,20200218 15:35,33
499,139149,138,376,49174,64,1582063140.0,1582065060.0,20200218 16:59,20200218 17:31,16
500,139285,753,2302,15176,26,1582024740.0,1582025520.0,20200218 06:19,20200218 06:32,2
501,139695,503,418,47025,77,1582027140.0,1582029480.0,20200218 06:59,20200218 07:38,PO
502,139363,150,404,14751,39,1582078200.0,1582079340.0,20200218 21:10,20200218 21:29,21
503,140110,130,49,36318,67,1582057020.0,1582059060.0,20200218 15:17,20200218 15:51,9
504,139445,103,0,32948,42,1582064940.0,1582066140.0,20200218 17:29,20200218 17:49,28
505,140025,137,159,12823,13,1582058940.0,1582059300.0,20200218 15:49,20200218 15:55,8
506,138723,117,49,33169,43,1582035480.0,1582036740.0,20200218 09:18,20200218 09:39,13
507,138926,144,322,7061,12,1582047120.0,1582047480.0,20200218 12:32,20200218 12:38,14
508,138631,113,376,41199,64,1582053540.0,1582055520.0,20200218 14:19,20200218 14:52,10G
509,139264,752,4,19889,33,1582025400.0,1582026360.0,20200218 06:30,20200218 06:46,2
510,138626,123,0,40972,112,1582034880.0,1582038840.0,20200218 09:08,20200218 10:14,10G
511,138660,125,0,37696,73,1582051620.0,1582053840.0,20200218 13:47,20200218 14:24,10G
512,140112,130,49,36081,44,1582072860.0,1582074120.0,20200218 19:41,20200218 20:02,9
513,139362,150,346,14751,35,1582073760.0,1582074780.0,20200218 19:56,20200218 20:13,21
514,138927,142,147,7263,15,1582048560.0,1582048980.0,20200218 12:56,20200218 13:03,14
515,139733,106,0,0,169,1582065240.0,1582070340.0,20200218 17:34,20200218 18:59,4
516,140277,730,304,8661,33,1582058460.0,1582059420.0,20200218 15:41,20200218 15:57,33
517,139750,118,27353,416,243,1582070400.0,1582079340.0,20200218 19:00,20200218 21:29,4
518,138899,143,317,7030,14,1582032540.0,1582032900.0,20200218 08:29,20200218 08:35,14
519,140255,730,212,8197,28,1582045380.0,1582046220.0,20200218 12:03,20200218 12:17,33
520,139530,726,1235,5011,20,1582061100.0,1582061700.0,20200218 16:25,20200218 16:35,34
521,138766,142,0,9627,33,1582045140.0,1582046100.0,20200218 11:59,20200218 12:15,14
522,140479,718,523,7909,17,1582076340.0,1582076820.0,20200218 20:39,20200218 20:47,33
