,trip_id
0,139653
1,139694
2,139461
3,140000
4,139636
5,138719
6,140097
7,138337
8,138614
9,140031
10,139715
11,138643
12,138338
13,139643
14,139644
15,139099
16,140098
17,138540
18,139468
19,138382
20,139718
21,140126
22,138735
23,139654
24,140010
25,138341
26,138541
27,138615
28,139998
29,138383
30,140032
31,139261
32,139309
33,139462
34,139110
35,139439
36,138527
37,139698
38,139652
39,138342
40,139245
41,140127
42,140105
43,139122
44,139645
45,138720
46,138384
47,139706
48,139285
49,139337
50,139454
51,139100
52,138343
53,138616
54,140011
55,139464
56,140033
57,140135
58,139151
59,139707
60,139123
61,138385
62,139646
63,139310
64,138655
65,139264
66,139648
67,138529
68,139253
69,140948
70,139440
71,138344
72,138736
73,139339
74,139111
75,139286
76,139708
77,138386
78,138562
79,139270
80,139124
81,139152
82,139455
83,139716
84,139647
85,138345
86,140012
87,139311
88,139695
89,138638
90,140123
91,140034
92,138619
93,139101
94,138721
95,138387
96,140949
97,139463
98,138563
99,139701
100,139649
101,139287
102,139338
103,138657
104,138346
105,139441
106,138751
107,138530
108,138752
109,139271
110,138388
111,139312
112,139709
113,139153
114,139650
115,138347
116,140099
117,138557
118,138753
119,139717
120,139112
121,139246
122,138883
123,140131
124,140013
125,139456
126,138737
127,139288
128,138637
129,139710
130,139340
131,139651
132,138618
133,140035
134,138898
135,138396
136,139990
137,139637
138,138754
139,138913
140,140947
141,138658
142,138768
143,139102
144,139313
145,139442
146,139711
147,139265
148,138884
149,140132
150,138782
151,138538
152,140106
153,138911
154,139126
155,138722
156,138389
157,138755
158,139341
159,139638
160,139289
161,139703
162,138542
163,138670
164,138914
165,138769
166,138353
167,139254
168,139457
169,140014
170,138885
171,138639
172,139113
173,140036
174,138783
175,138899
176,139272
177,139712
178,139640
179,139314
180,138756
181,140136
182,139127
183,138915
184,138770
185,138738
186,139155
187,138349
188,140003
189,138886
190,139342
191,138666
192,139290
193,138531
194,139713
195,139641
196,139443
197,138784
198,138900
199,139103
200,138398
201,139145
202,138757
203,138667
204,138558
205,138916
206,139250
207,139714
208,139642
209,138355
210,139336
211,140015
212,139266
213,138771
214,138887
215,139156
216,139458
217,140037
218,138785
219,138723
220,138390
221,138901
222,139639
223,139114
224,139699
225,138758
226,139307
227,138659
228,139364
229,140101
230,138917
231,138350
232,138772
233,138888
234,139139
235,140005
236,138786
237,139989
238,139700
239,138400
240,139444
241,139315
242,139273
243,138902
244,138759
245,138918
246,139258
247,139104
248,139174
249,138351
250,138739
251,140102
252,139655
253,140016
254,138773
255,140134
256,138626
257,139702
258,138889
259,140038
260,139991
261,138391
262,139291
263,139343
264,138787
265,138352
266,138903
267,139459
268,138760
269,139666
270,138919
271,139704
272,138774
273,139267
274,139316
275,139115
276,138539
277,138890
278,140128
279,138392
280,138788
281,138354
282,139696
283,138912
284,139169
285,139128
286,138724
287,140107
288,138544
289,138761
290,139705
291,139438
292,140017
293,138920
294,139292
