,trip_id
736,140111
737,138374
738,138556
739,139178
740,138835
741,138941
742,139733
743,139465
744,138854
745,140028
746,138418
747,139329
748,139279
749,138966
750,138810
751,139759
752,139675
753,138632
754,139674
755,138747
756,138567
757,140050
758,138985
759,139744
760,139429
761,138836
762,138942
763,138651
764,139173
765,139138
766,138855
767,138419
768,139357
769,139305
770,139690
771,139249
772,140141
773,138375
774,138967
775,138811
776,139726
777,138986
778,138837
779,138943
780,138551
781,139460
782,139663
783,139330
784,139284
785,138536
786,138856
787,140952
788,140029
789,138968
790,138812
791,138623
792,140051
793,138987
794,138420
795,140121
796,138376
797,139132
798,138633
799,139168
800,139671
801,138838
802,138944
803,139306
804,139734
805,139358
806,138857
807,139257
808,138969
809,138813
810,138664
811,138988
812,139280
813,139740
814,139331
815,138839
816,138945
817,138858
818,140151
819,138552
820,139680
821,140030
822,138421
823,139161
824,138537
825,138970
826,138814
827,139755
828,139308
829,138989
830,139359
831,138840
832,138946
833,138859
834,138668
835,139728
836,138971
837,138815
838,138990
839,138377
840,138524
841,139334
842,139144
843,139692
844,140112
845,138841
846,138947
847,138860
848,139737
849,138972
850,138816
851,138991
852,139362
853,138842
854,138948
855,138861
856,140142
857,138422
858,139164
859,139676
860,139745
861,138652
862,138881
863,138882
864,139332
865,140953
866,140954
867,139664
868,138634
869,140122
870,139757
871,139133
872,138378
873,139360
874,139335
875,139741
876,139681
877,139162
878,138423
879,138553
880,140152
881,139363
882,140113
883,138525
884,138379
885,139134
886,139333
887,139729
888,139693
889,139361
890,138653
891,139163
892,139677
893,140143
894,139746
895,138424
896,138635
897,139758
898,138380
899,139665
900,139742
901,138554
902,138425
903,138381
904,138526
905,139730
906,138426
907,138654
