,trip_id
736,138840
737,138946
738,138668
739,139728
740,138971
741,138815
742,138377
743,139144
744,140112
745,138524
746,139334
747,139692
748,138841
749,138947
750,139737
751,138972
752,138816
753,139362
754,138842
755,138948
756,138652
757,139676
758,138422
759,140142
760,139164
761,138881
762,139332
763,140953
764,140954
765,138378
766,139133
767,140122
768,139664
769,138634
770,139757
771,139360
772,139335
773,138423
774,139741
775,140152
776,139162
777,138553
778,139363
779,138525
780,139333
781,139729
782,139134
783,140113
784,138379
785,139693
786,139361
787,138424
788,140143
789,138653
790,139677
791,139163
792,138380
793,139665
794,138635
795,139758
796,138554
797,139742
798,138425
799,139730
800,138381
801,138526
802,138426
803,138654
