entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
154,139323,505,418,28790,68,1585159200.0,1585161180.0,20200325 14:00,20200325 14:33,PO
155,138663,111,147,37861,82,1585170300.0,1585172700.0,20200325 17:05,20200325 17:45,10G
156,140144,115,256,33760,43,1585157100.0,1585158360.0,20200325 13:25,20200325 13:46,9
157,140953,142,4263,9662,21,1585181580.0,1585182180.0,20200325 20:13,20200325 20:23,14
158,139279,149,365,19991,40,1585172400.0,1585173600.0,20200325 17:40,20200325 18:00,2
159,138546,130,1151,28892,38,1585150500.0,1585151640.0,20200325 11:35,20200325 11:54,10A
160,139992,110,375,416,61,1585150860.0,1585152060.0,20200325 11:41,20200325 12:01,7
161,138773,142,3717,9662,20,1585143840.0,1585144440.0,20200325 09:44,20200325 09:54,14
162,138916,143,135,4100,16,1585141200.0,1585141620.0,20200325 09:00,20200325 09:07,14
163,140403,703,0,8164,37,1585148160.0,1585149240.0,20200325 10:56,20200325 11:14,33
164,140261,703,102,8944,28,1585152780.0,1585153560.0,20200325 12:13,20200325 12:26,33
165,139164,147,357,53121,54,1585180800.0,1585182360.0,20200325 20:00,20200325 20:26,16
166,138618,148,418,103101,149,1585136400.0,1585140840.0,20200325 07:40,20200325 08:54,PO
167,139325,505,498,13685,39,1585164000.0,1585165200.0,20200325 15:20,20200325 15:40,21
168,138854,143,3654,9600,18,1585172280.0,1585172820.0,20200325 17:38,20200325 17:47,14
169,139315,504,490,13787,41,1585143120.0,1585144380.0,20200325 09:32,20200325 09:53,21
170,139737,134,32070,416,277,1585180800.0,1585188540.0,20200325 20:00,20200325 22:09,4
171,140451,729,188,8141,30,1585159320.0,1585160220.0,20200325 14:02,20200325 14:17,33
172,139168,135,0,11465,185,1585175100.0,1585180020.0,20200325 18:25,20200325 19:47,16
173,140154,117,520,34675,69,1585167600.0,1585169640.0,20200325 16:20,20200325 16:54,9
174,139667,503,375,73585,109,1585152300.0,1585155540.0,20200325 12:05,20200325 12:59,4
175,140262,729,56,8949,38,1585140300.0,1585141380.0,20200325 08:45,20200325 09:03,33
176,138928,144,119,3907,15,1585156560.0,1585156980.0,20200325 13:16,20200325 13:23,14
177,139542,726,113,5006,19,1585137000.0,1585137540.0,20200325 07:50,20200325 07:59,34
178,138826,142,4614,9405,17,1585161120.0,1585161660.0,20200325 14:32,20200325 14:41,14
179,140460,729,70,7349,38,1585173840.0,1585174380.0,20200325 18:04,20200325 18:13,33
180,138900,142,219,3396,34,1585140480.0,1585141440.0,20200325 08:48,20200325 09:04,14
181,140408,729,62,8207,36,1585145040.0,1585146120.0,20200325 10:04,20200325 10:22,33
182,140121,147,377,36217,50,1585176060.0,1585177560.0,20200325 18:41,20200325 19:06,9
183,139743,501,81,72729,163,1585164240.0,1585169160.0,20200325 15:24,20200325 16:46,4
184,138809,144,3433,9196,22,1585171440.0,1585172100.0,20200325 17:24,20200325 17:35,14
185,140146,135,535,34574,55,1585171680.0,1585173360.0,20200325 17:28,20200325 17:56,9
186,140112,120,49,36180,59,1585179000.0,1585180740.0,20200325 19:30,20200325 19:59,9
187,138943,144,110,4105,22,1585174560.0,1585175160.0,20200325 18:16,20200325 18:26,14
188,140268,729,56,8912,34,1585151100.0,1585152120.0,20200325 11:45,20200325 12:02,33
