entry_no,tatripid,vid,start_pdist,end_pdist,num_docs,start_timestamp,end_timestamp,start_tmstmp,end_tmstmp,route_id
697,138616,142,1006,87613,121,1585304400.0,1585308060.0,20200327 06:20,20200327 07:21,10C
698,140244,718,56,8379,39,1585321260.0,1585322400.0,20200327 11:01,20200327 11:20,33
699,139722,119,110,416,204,1585326000.0,1585332060.0,20200327 12:20,20200327 14:01,4
700,139727,149,0,72658,136,1585343160.0,1585347240.0,20200327 17:06,20200327 18:14,4
701,140383,726,0,8262,21,1585313820.0,1585314420.0,20200327 08:57,20200327 09:07,33
702,138566,139,70,26269,54,1585342920.0,1585344540.0,20200327 17:02,20200327 17:29,10A
703,139500,727,0,5203,34,1585308240.0,1585309200.0,20200327 07:24,20200327 07:40,34
704,138905,144,544,4100,29,1585320960.0,1585321800.0,20200327 10:56,20200327 11:10,14
705,138854,143,4755,9662,9,1585345680.0,1585345920.0,20200327 17:48,20200327 17:52,14
706,139700,145,110,416,214,1585315500.0,1585321380.0,20200327 09:25,20200327 11:03,4
707,138390,120,0,40285,70,1585314540.0,1585316640.0,20200327 09:09,20200327 09:44,1
708,138521,145,302,30062,37,1585332480.0,1585333560.0,20200327 14:08,20200327 14:26,10A
709,138899,144,54,4105,33,1585312080.0,1585313040.0,20200327 08:28,20200327 08:44,14
710,139650,149,42,73585,107,1585308960.0,1585312140.0,20200327 07:36,20200327 08:29,4
711,140006,138,416,15793,23,1585320420.0,1585321080.0,20200327 10:47,20200327 10:58,PO
712,139508,727,0,5197,18,1585317060.0,1585317600.0,20200327 09:51,20200327 10:00,34
713,139353,504,0,9030,39,1585337700.0,1585338840.0,20200327 15:35,20200327 15:54,21
714,140241,718,199,8410,34,1585315800.0,1585316820.0,20200327 09:30,20200327 09:47,33
715,138658,117,0,11465,126,1585309860.0,1585313040.0,20200327 07:51,20200327 08:44,10G
716,139750,106,416,416,68,1585353600.0,1585355040.0,20200327 20:00,20200327 20:24,PI
717,139699,505,116,0,183,1585314600.0,1585319520.0,20200327 09:10,20200327 10:32,4
718,138424,503,0,40360,63,1585361040.0,1585362900.0,20200327 22:04,20200327 22:35,1
719,138774,144,4379,9537,10,1585318020.0,1585318260.0,20200327 10:07,20200327 10:11,14
720,139164,150,357,1046,2,1585353540.0,1585353540.0,20200327 19:59,20200327 19:59,16
721,138638,103,258,41228,55,1585307220.0,1585308840.0,20200327 07:07,20200327 07:34,10G
